NUME_SOCIETATE,ADRESA_SITP,ADRESA_SEDIU,SITPID,NUMAR_AUTORIZATIE,COD_STATIE,PERSOANA_CONTACT,VALABILITATE_AUTORIZATIE,CLASA,INTERDICTII,OBSERVATII
SC DACOSERV SA,"BUCURESTI,STR. PRECIZIEI 4,jud.BUCURESTI","BUCURESTI,STR. PRECIZIEI 4,jud.BUCURESTI",39,112,B0030,,03-DEC-24-02-DEC-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DACOSERV SA,"BUCURESTI,SOS. SALAJ 225,jud.BUCURESTI","BUCURESTI,STR. PRECIZIEI 4,jud.BUCURESTI",40,1351,B0180,,03-JUN-25-02-JUN-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TIMAS SRL,"BUCURESTI,SOS. FUNDENI 129,jud.BUCURESTI","BUCURESTI,SOS. FUNDENI 129,jud.BUCURESTI",44,167,B0038,,29-DEC-24-28-DEC-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DRG 2000 SRL,"BUCURESTI,STR. AUREL FLORESCU 26,jud.BUCURESTI","BUCURESTI,STR. AUREL FLORESCU 26,jud.BUCURESTI",47,613,B0045,,02-MAR-25-01-MAR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC S.D. PRESTIGE IMPEX '97 SRL,"BUCURESTI,STR. TURNU MAGURELE 66,jud.BUCURESTI","BUCURESTI,STR. TURNU MAGURELE 66,jud.BUCURESTI",72,710,B0099,,23-JAN-24-22-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC METROTEHNICA INTERNATIONAL SRL,"JILAVA,SOS. GIURGIULUI 23A,jud.ILFOV","BUCURESTI,STR. ING. D. TACU 12,jud.ILFOV",90,944,B0122,21.4570726,22-APR-24-21-APR-26,2,Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC A.D.N.-ALEX-PROD-COMIMPEX SRL,"BUFTEA,SOS. BUCURESTI-TARGOVISTE (KM18) 2B,jud.ILFOV","BUFTEA,SOS. BUCURESTI-TARGOVISTE (KM18) 2B,jud.ILFOV",113,1098,B0142,,21-NOV-23-20-NOV-25,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SOCIETATEA COOPERATIVA MESTESUGAREASCA INTERSERVICE BANEASA,"BUCURESTI,BD. AEROGARII 38,jud.BUCURESTI","BUCURESTI,BD. AEROGARII 38,jud.BUCURESTI",120,1162,B0154,21.2321621,09-MAY-24-08-MAY-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu MAC;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SOCIETATEA COOPERATIVA MESTESUGAREASCA MOTOR SERVICE SCM,"BUCURESTI,BD. NICOLAE GRIGORESCU 6-8,jud.BUCURESTI","BUCURESTI,BD. NICOLAE GRIGORESCU 6-8,jud.BUCURESTI",122,1165,B0156,21.3401896,09-MAY-24-08-MAY-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
ADMINISTRATIA PATRIMONIULUI PROTOCOLULUI DE STAT RA,"BUCURESTI,BD. AVIATORILOR 14,jud.BUCURESTI","BUCURESTI,Str. Moliere 6-8,jud.BUCURESTI",4,473,B0069,21.3198679,16-NOV-23-15-NOV-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
