NUME_SOCIETATE,ADRESA_SITP,ADRESA_SEDIU,SITPID,NUMAR_AUTORIZATIE,COD_STATIE,PERSOANA_CONTACT,VALABILITATE_AUTORIZATIE,CLASA,INTERDICTII,OBSERVATII
SC VAN WU TRANS SRL,"BAIA MARE,Str. Oborului 45,jud.MARAMURES","BAIA MARE,Str. Transilvaniei 5, Ap. 45,jud.MARAMURES",2866,3146,MM056,786.75555,01-AUG-24-31-JUL-26,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC VAN WU TRANS SRL,"BAIA MARE,Str. Oborului 45,jud.MARAMURES","BAIA MARE,Str. Transilvaniei 5, Ap. 45,jud.MARAMURES",2866,3146,MM056,786.75555,24-SEP-24-31-JUL-26,2;3,Autovehicule echipate cu instalate GNC,
SC OPEN AUTO CENTER SRL,"IASI,CALEA CHISINAULUI, CONSTRUCTIA C21-PARTER 45,jud.IASI","IASI,CALEA CHISINAULUI 45,jud.IASI",2872,3152,IS089,,11-OCT-23-10-OCT-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO GOLD BUSINESS SRL,"SLOBOZIA,SOS. AMARA, LOT 2 17,jud.IALOMITA","SLOBOZIA,SOS. AMARA, LOT 2 17,jud.IALOMITA",2877,3158,IL041,,11-NOV-23-10-NOV-25,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC STATIE ITP SRL,"BOTOSANI,STR. PACEA 47B,jud.BOTOSANI","BOTOSANI,STR. PACEA 47B,jud.BOTOSANI",2881,3162,BT025,,31-OCT-23-30-OCT-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TREHOS-BIS IMPEX SRL,"BISTRITA,Str. Calea Clujului 81,jud.BISTRITA-NASAUD","BISTRITA,Str. Calea Clujului 81,jud.BISTRITA-NASAUD",2890,3171,BN038,263.20607,01-FEB-24-13-NOV-25,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TREHOS-BIS IMPEX SRL,"BISTRITA,Str. Calea Clujului 81,jud.BISTRITA-NASAUD","BISTRITA,Str. Calea Clujului 81,jud.BISTRITA-NASAUD",2890,3171,BN038,263.20607,14-NOV-23-13-NOV-25,2;3,"Autobuze articulate;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC BADROM BBC SRL,"CRAIOVA,B-DUL GHEORGHE CHITU 20,jud.DOLJ","CRAIOVA,ALEEA 1 CASTANILOR, BL. 65 A2, SC. 1, ET. 2, AP. 7 2 B,jud.DOLJ",2897,3178,DJ110,,12-FEB-25-22-NOV-25,2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC BADROM BBC SRL,"CRAIOVA,B-DUL GHEORGHE CHITU 20,jud.DOLJ","CRAIOVA,ALEEA 1 CASTANILOR, BL. 65 A2, SC. 1, ET. 2, AP. 7 2 B,jud.DOLJ",2897,3178,DJ110,,23-NOV-23-22-NOV-25,2,"Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SERVICE AUTOMOBILE SA,"CARANSEBES,CALEA TIMISOAREI 48A,jud.CARAS-SEVERIN","DEVA,BD. 22 DECEMBRIE 129,jud.CARAS-SEVERIN",2905,3188,CS040,254.22584,16-JUL-25-12-DEC-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC SERVICE AUTOMOBILE SA,"CARANSEBES,CALEA TIMISOAREI 48A,jud.CARAS-SEVERIN","DEVA,BD. 22 DECEMBRIE 129,jud.CARAS-SEVERIN",2905,3188,CS040,254.22584,13-DEC-23-12-DEC-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC MALDCAR SRL,"VASLUI,STR. FABRICII, CORP CLADIRE C-12/8 4,jud.VASLUI","VASLUI,STR. FABRICII, CORP CLADIRE C-12/8 4,jud.VASLUI",2912,3192,VS037,,28-DEC-23-27-DEC-25,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SOCIETATEA DE TRANSPORT BUCURESTI STB S.A.,"BUCURESTI,B-DUL TIMISOARA 62,jud.BUCURESTI","BUCURESTI,B-dul. Dinicu Golescu 1,jud.BUCURESTI",2913,3195,B0614,,21-DEC-23-20-DEC-25,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal,Se efectueaza ITP la autobuze articulate doar pentru parcul propriu.
SC CONSTRUCT ART DESIGN SRL,"ALEXANDRIA,Str. Mihaiţa Filipescu 200,jud.TELEORMAN","ALEXANDRIA,Str. Ion Creanga 118,jud.TELEORMAN",2914,3194,TR043,,12-SEP-25-11-SEP-27,1;2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor tractate prin probe functonale in parcurs
SC ROBIANDIBRIK SRL,"ALESD,STR. 1 DECEMBRIE 54 D,jud.BIHOR","ALESD,STR. 1 DECEMBRIE 68,jud.BIHOR",2916,3197,BH087,,22-DEC-23-21-DEC-25,1;2;3,Autovehicule echipate cu instalate GNC;Tractoare,
SC DAVID YSABELA MANAGEMENT SRL,"BAIA DE ARAMA,ALEEA STADIONULUI 32,jud.MEHEDINTI","COM. PONOARELE, SAT PROITESTI,- 59,jud.MEHEDINTI",2925,3206,MH039,,04-MAR-25-15-JAN-26,2,Autovehicule echipate cu instalate GPL sau GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DAVID YSABELA MANAGEMENT SRL,"BAIA DE ARAMA,ALEEA STADIONULUI 32,jud.MEHEDINTI","COM. PONOARELE, SAT PROITESTI,- 59,jud.MEHEDINTI",2925,3206,MH039,,16-JAN-24-15-JAN-26,2;3,"Autobuze articulate;Autovehicule din categ. N2 (cu excepta celor cu MTMA sub 7,5 To la care nu este posibila montarea corespunzatoare a unei oglinzi de cls. V) si N3 fabricate dupa 01.01.2000 la care nu se prezinta Certificatul de Conformitate care atesta indeplinirea prevederilor Dir. 2003-97-CE ref. la campul de vizibilitate sau nu exista marca de omologare pe suportul oglinzilor (conf. RNTR-1, Anexa 3);Autovehicule echipate cu instalate GNC",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC GTJ 24/24 TRUCK SERVICE SRL,"BUSAG, TAUTII-MAGHERUS,STR. 112 32 A,jud.MARAMURES","BUSAG, TAUTII-MAGHERUS,STR. 112 32,jud.MARAMURES",2927,3208,MM057,,12-FEB-25-11-FEB-27,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DAVID-FAST SRL,"PASCANI,STR. ABATOR 58 B,jud.IASI","PASCANI,STR. ABATOR 58 B,jud.IASI",2938,3218,IS090,,08-APR-25-21-FEB-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DAVID-FAST SRL,"PASCANI,STR. ABATOR 58 B,jud.IASI","PASCANI,STR. ABATOR 58 B,jud.IASI",2938,3218,IS090,,22-FEB-24-21-FEB-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DISCOVOLANTE-TRANS SRL,"BACAU,STR. ION LUCA CARAGIALE 1B,jud.BACAU","BACAU,STR. 9 MAI, BL. 24, SC. A, ET. 4, AP. 12 24,jud.BACAU",2940,3220,BC079,,19-FEB-24-18-FEB-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Autovehicule echipate cu tractune integrala permanenta;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC GAB AUTOSPORT SRL,"SAT FRUMOSU, COM. FRUMOSU,- 383 A,jud.SUCEAVA","SAT FRUMOSU, COM. FRUMOSU, CAM. 1,- 383,jud.SUCEAVA",2956,3237,SV088,,13-MAR-25-25-MAR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC GAB AUTOSPORT SRL,"SAT FRUMOSU, COM. FRUMOSU,- 383 A,jud.SUCEAVA","SAT FRUMOSU, COM. FRUMOSU, CAM. 1,- 383,jud.SUCEAVA",2956,3237,SV088,,26-MAR-24-25-MAR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
RUS I.E. IOAN INTREPRINDERE INDIVIDUALA,"TARGU JIU,Calea Bucuresti 168A,jud.GORJ","TARGU JIU,Calea Bucuresti 168A,jud.GORJ",2745,3029,GJ041,765.437909,12-OCT-24-11-OCT-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO PRO CONSULTING SRL,"DARMANESTI,STR. FORESTIERULUI FN,jud.BACAU","DARMANESTI,STR FORESTIERULUI FN,jud.BACAU",2778,3062,BC074,,10-FEB-25-09-FEB-27,1;2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC GUSVAD SERV SRL,"CLUJ-NAPOCA,STR. ALVERNA 40,jud.CLUJ","CLUJ-NAPOCA,B-DUL CONSTANTIN BRANCUSI 91,jud.CLUJ",2791,3076,CJ132,,08-MAR-25-01-OCT-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO HAN SRL,"BUCURESTI,Str. Amurgului 29A,jud.BUCURESTI","BUCURESTI,Str. Amurgului 29A,jud.BUCURESTI",2815,3097,B0590,722.898763,02-APR-25-01-APR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC CRONOTRANS SERVICE SRL,"CRAIOVA,STR. ZAMBILEI 4,jud.DOLJ","CRAIOVA,STR ZAMBILEI 4,jud.DOLJ",2840,3121,DJ104,,09-OCT-23-08-OCT-25,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule cu norma de poluare EURO 6 sau EURO VI;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TEHNOSTAR IMPEX SRL,"SATU MARE,Str. Fabricii 82/C,jud.SATU MARE","SATU MARE,Str. Fabricii 82/C,jud.SATU MARE",2861,3141,SM034,744.513634,19-SEP-25-18-SEP-27,2,Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC PARTENER BUSSINES OFFICE SRL,"DROBETA TURNU SEVERIN,Str. Walter Maracineanu 75A,jud.MEHEDINTI","DROBETA TURNU SEVERIN,Str. Walter Maracineanu 75A,jud.MEHEDINTI",2864,3144,MH038,352.405867,23-OCT-24-22-OCT-26,2;3,"Autobuze articulate;Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GPL sau GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DELTA AUTO CENTER SRL,"BUCURESTI,B-dul Marasti 59, HALA 1,jud.BUCURESTI","BUCURESTI,B-DUL MARASTI 59, HALA 1,jud.BUCURESTI",2865,3145,B0601,745.525678,20-SEP-25-19-SEP-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC NEW ITP SRL,"CRAIOVA,B-DUL DECEBAL 85,jud.DOLJ","CRAIOVA,STR. DR. DIMITRIE GEROTA, Bloc D3, Ap. 6 14,jud.DOLJ",2879,3160,DJ108,744899748,28-SEP-23-27-SEP-25,1;2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC FANTESY SRL,"LOC. SARMASU, ORAS SARMASU,SONDELOR 22,jud.MURES","SARMASU, ORAS SARMASU,STR. SONDELOR 22,jud.MURES",2894,3175,MS071,,24-NOV-23-23-NOV-25,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TAMSIRA CXV SERVICE SRL,"SLATINA,STR. ECATERINA TEODOROIU 38 B,jud.OLT","SLATINA,STR. ECATERINA TEODOROIU, BIROUL NR. 1 38 B,jud.OLT",2926,3207,OT040,,08-FEB-24-07-FEB-26,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC LS INSPECT SRL,"SIBIU,STR. HENRI COANDA FN,jud.SIBIU","SIBIU,ALEEA PETUNIEI, SC. A, ET. 3, AP. 11, 1,jud.SIBIU",2928,3209,SB064,,17-JAN-24-16-JAN-26,1;2,,
SORUICA RAFAEL INTREPRINDERE INDIVIDUALA,"TIMISOARA,Str. Ion Ionescu de la Brad 29,jud.TIMIS","SAT DUMBRAVITA,Str. Cetinei 16, Ap. 2,jud.TIMIS",2929,3210,TM112,727.188097,01-JAN-25-31-DEC-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC GIRDAIN COM-PROD SRL,"SUCEAVA,CALEA UNIRII 30,jud.SUCEAVA","SUCEAVA,STR. GRIGORE ANTIPA 3,jud.SUCEAVA",2942,3223,SV086,,21-FEB-24-20-FEB-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ANALIZE TEHNICE AUTO SRL,"BUCURESTI,Str. Albatrosului 21-25,jud.BUCURESTI","BUCURESTI,Str. Albatrosului 21-25,jud.BUCURESTI",2961,3242,B0619,744.565691,02-APR-24-01-APR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC GIARRO TECH SRL,"JIBOU,Str. 22 Decembrie 1989 10,jud.SALAJ","COM. CRASNA,SAT CRASNA 758,jud.SALAJ",2966,3247,SJ032,364.086977,16-APR-24-15-APR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC XTEH SRL,"URZICENI,STR. MIHAI VITEZU 31,jud.IALOMITA","URZICENI,STR. MIHAI VITEAZU 31,jud.IALOMITA",2969,3250,IL042,,18-APR-24-17-APR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC VEBARA CAR CONCEPT SRL,"COM. IZBICENI, SAT IZBICENI,STR NICOLAE TITULESCU 37 A,jud.OLT","COM. IZBICENI, SAT IZBICENI,STR NICOLAE TITULESCU 37 A,jud.OLT",2972,3253,OT041,,19-APR-24-18-APR-26,2,Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
COMPANIA DE TRANSPORT PUBLIC IASI SA,"IASI,STR. SPLAI BAHLUI, MAL DREPT 32,jud.IASI","IASI,STR. SILVESTRU, C20, CAM. 3, ET. 2 5,jud.IASI",2758,3043,IS086,,30-OCT-24-29-OCT-26,1;2;3,Autovehicule echipate cu instalate GNC,
SC VASROM STING SERV SRL,"DEJ,Str. Bistriţei 2,jud.CLUJ","DEJ,Str. Valea Jichisului 30,jud.CLUJ",2790,3074,CJ131,264.211923,15-APR-25-06-MAR-27,1;2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,
SC VASROM STING SERV SRL,"DEJ,Str. Bistriţei 2,jud.CLUJ","DEJ,Str. Valea Jichisului 30,jud.CLUJ",2790,3074,CJ131,264.211923,07-MAR-25-06-MAR-27,1;2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,
SC SANSILV SRL,"GALATI,CALEA SMARDAN 2,jud.GALATI","GALATI,STR. BAHLUIULUI, BL. L10,SC.4, ET.6, AP.115 2,jud.GALATI",2794,3078,GL073,,11-MAR-25-10-MAR-27,2;3,"Autobuze articulate;Autovehicule din categoriile N2, N3 si T;Autovehicule echipate cu instalate GNC",Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC SANSILV SRL,"GALATI,CALEA SMARDAN 2,jud.GALATI","GALATI,STR. BAHLUIULUI, BL. L10,SC.4, ET.6, AP.115 2,jud.GALATI",2794,3078,GL073,,18-MAR-25-10-MAR-27,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC CAR VULK APA SRL,"MACIN,Str. Eternitati 39B,jud.TULCEA","SAT CARCALIU,Str. Piatra 208,Cam.1,jud.TULCEA",2847,3128,TL019,751.087625,17-JUL-25-16-JUL-27,1;2,Tractoare;Vehicule tractate,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC EL-PREDA SRL,"SLATINA,Str. Pitesti 110A,jud.OLT","SLATINA,Str. Pitesti 110C,jud.OLT",2848,3129,OT039,249.416438,04-JUN-24-03-JUN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC EL-PREDA SRL,"SLATINA,Str. Pitesti 110A,jud.OLT","SLATINA,Str. Pitesti 110C,jud.OLT",2848,3129,OT039,249.416438,11-SEP-24-03-JUN-26,1;2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SERVICII EDILITARE PENTRU COMUNITATE MIOVENI SRL,"MIOVENI,B-DUL DACIA, CARTIER COLIBASI, PUNCTUL ""LA CIMITIR"" FN,jud.ARGES","MIOVENI,STR. CAROL DAVILA, PUNCTUL TERMIC 3 4,jud.ARGES",2886,3167,AG092,,07-NOV-23-06-NOV-25,2;3,,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ACG RAYAN MOTORS SRL,"SAT NANOV,Str. Dunarii 16,jud.TELEORMAN","SAT NANOV,Str. Dunarii 16,jud.TELEORMAN",2892,3173,TR042,247.708073,17-NOV-23-16-NOV-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC FIL AUTOSERV SRL,"DEJ,STR. BISTRITEI 12C1,jud.CLUJ","COM. MICA,SAT MICA 141,jud.CLUJ",2917,3198,CJ137,,23-DEC-23-22-DEC-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC LEOITP SRL,"COM. MALU MARE, SAT PREAJBA,STR. PINULUI 19,jud.DOLJ","COM. MALU MARE, SAT PREAJBA,STR. PINULUI 19,jud.DOLJ",2921,3202,DJ111,,12-JAN-24-11-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO INDUSTRIES SRL,"BRAGADIRU,SOS ALEXANDRIEI 180,jud.ILFOV","BUCURESTI,SOS PANTELIMON, BL. 5, SC. F, ET. 6, AP. 214 328,jud.ILFOV",2923,3204,B0616,,15-JAN-24-14-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TRANS MAX SIB SRL,"AGNITA,Str. Mihai Viteazu 91,jud.SIBIU","AGNITA,Str. Avram Iancu 66,jud.SIBIU",2930,3211,SB065,269.512229,02-OCT-24-01-OCT-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SERVICEAUTO GO & ITP SRL,"Com. BRATES,Sat Pachia CF 23105,jud.COVASNA","Com. Brates,Sat Pachia CF 23105,jud.COVASNA",2946,3227,CV036,766.60616,27-FEB-24-26-FEB-26,1;2;3,,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor tractate prin probe functonale in parcurs
SC YRI TRANSCOM SRL,"BUSTENI,Str. Pescariei F.N.,jud.PRAHOVA","SINAIA,B-DUL FERDINAND, AP. 4 54,jud.PRAHOVA",2955,3235,PH124,,22-MAR-24-21-MAR-26,1;2;3,Autobuze articulate,
SC CARSPA SRL,"CONSTANTA, CONSTRUCTIE C14-MAGAZIE SPALATORIE,B-DUL TOMIS 301,jud.CONSTANTA","CONSTANTA,B-DUL TOMIS, CONSTRUCTIE C14-MAGAZIE SPALATORIE 301,jud.CONSTANTA",2973,3254,CT122,,19-APR-24-18-APR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
